Paper (#),Title,Authors,Insights,Methods Used,Results,Findings,Objectives
14,Control of Thermal Energy Storage in Commercial Buildings for California Utility Tariffs and Demand Response,"Rongxin Yin, Doug Black, Mary A. Piette",,Analytical model EnergyPlus for TES and DR programs; case studies on utility DR program changes and TES usage,Evaluated TES effectiveness and identified optimal TES configurations for different buildings and climates,Partial storage systems better for demand response participation,
15,"Impact of advanced electricity tariff structures on the optimal design, operation, and profitability of a grid-connected PV system with energy storage","Lionel Bloch, Jordan Holweger, Christophe Ballif",,Mixed-integer linear programming for PV and battery systems; benchmarking five tariff scenarios,Block rate tariff most promising for optimal design; capacity-based tariffs rely on PV curtailment for generation peaks,Block rate tariff optimal; capacity-based tariffs beneficial for managing generation peaks,
1,Optimal Storage Response to Utility Tariff Structures and Potential Use of Capacity Charges,Killian McKenna,"Focuses primarily on lithium-ion systems, not specifically TES.",Linear optimization for storage tariff response; customer net load metrics analysis,Optimal storage response examined; capacity charges reduce peak imports and exports,Optimal storage response varies with tariff structures; capacity charges beneficial,Analyze optimal storage response and net load metrics under diverse tariffs
2,Thermal Energy Storage for Electricity Peak-demand Mitigation: A Solution in Developing and Developed World Alike,"Nicholas DeForest, Goncalo Mendes, Michael Stadler",TES deployment influenced significantly by tariff structures.,Simulation with DER-CAM model across four cities,TES reduces peak electricity consumption by 30-38%; substantial savings,TES effectively reduces peak electricity demand,Simulate TES effectiveness for peak electricity demand mitigation
3,A comprehensive review on mobilized thermal energy storage,"Shanmuga Sundaram Anandan, Jagannathan Sunderababu",Primarily addresses industrial waste heat recovery.,Review on industrial waste heat recovery and mobilized thermal energy storage,Industrial applications waste significant heat resources; waste heat recovery solutions effective,Industrial waste heat recovery significantly beneficial,Review industrial waste heat recovery and mobilized thermal storage solutions
4,Integration of curtailed wind into flexible electrified heating networks with demand-side response and thermal storage,"Andrew Francis Lyden, Daniel Friedrich",Tariff structures significantly influence TES economic viability integrating curtailed wind.,"Integration of curtailed wind, mathematical optimization of electrified heat plant",Large-scale storage lowers costs and increases curtailed wind integration,Large-scale storage reduces costs; financial incentives needed,Analyze integration of curtailed wind into heating networks
5,The potential of heat storage as variation management in the electricity and district heating sectors,"Petra Holmer, Jonathan Ullmark",Examines thermal energy storage in electricity and district heating sectors.,Greenfield cost-optimizing model; scenario analysis for district heating and thermal energy storage,"Impacts cost-optimal DH system; promotes wind power, reduces curtailment",Significant impact on DH system composition; cost and curtailment reduction,Explore thermal storage as variation management; analyze optimal district heating integration
6,Optimizing the Capacity of Thermal Energy Storage in Industrial Clusters,"Mandar Thombre, Sandeep Prakash, Brage Rugstad Knudsen",Focuses on optimizing TES capacity using scenario-based stochastic programming for industrial clusters.,Single-level and bilevel formulation minimizing design and operation costs,Two formulations for optimal TES capacity presented and compared via industrial case study,Optimal TES design improves energy efficiency in clusters,Optimize TES design and minimize combined design-operation cost
7,"Current, Projected Performance and Costs of Thermal Energy Storage","Laura Pompe, Fabio Nardecchia, Adio Milozzi","Examines performance, costs, and applications of TES technologies.","Overview of sensible, latent, and thermochemical TES applications",TES market projected at 10.1 billion USD by 2027,Sensible heat TES dominates due to affordability and wide applications,"Review current TES performance, costs, and analyze European applications"
8,Integration of curtailed wind into flexible electrified heating networks with demand-side response and thermal storage,"Andrew Francis Lyden, Daniel Friedrich",Highlights importance of tariff structures for integrating curtailed wind via TES.,Mathematical optimization of electrified heat plant designs,"Large-scale TES lowers integration costs, financial incentives essential",Thermal storage increases curtailed wind integration,"Investigate wind integration into heating networks, analyze curtailment mitigation"
9,Untapping Industrial Flexibility via Waste Heat-Driven Pumped Thermal Energy Storage Systems,"Stefano Barberis, Simone Maccarini, S. Shamsi",Explores industrial waste heat utilization via pumped thermal energy storage (PTES).,"Feasibility study of sCO2-based PTES, industrial heat valorization","Enhanced PTES performance, CAPEX reduced with sCO2 integration",Waste heat significantly improves PTES efficiency,"Enhance PTES efficiency, improve industrial energy competitiveness"
10,"Developments in Thermal Energy Storage: Large Applications, Low Temps, High Efficiency, and Capital Savings",John S. Andrepont,"Discusses efficiency, large-scale applications, and economics of TES.","Economic studies, analysis of large-scale TES systems",Increased application and documented economic benefits of large TES,Large-scale TES improves efficiency and economic viability,"Discuss TES trends, explore efficiency and economic benefits"
6,Performance evaluation of advanced energy storage systems: a review,"Gulam Sméani, Muhammad Reman Islam, Ahmad Naim Ahmad Yahaya",PHES and CAES are the most cost-effective energy storage systems evaluated in terms of $/kWh.,Evaluation of energy storage systems on various parameters; comparison of different storage technologies,Supercapacitors highest power density; Hydrogen fuel cells highest energy density,Performance evaluated for various storage systems; significant differences highlighted,Evaluate performance and economic viability of advanced energy storage systems
7,The Impact of Cost and Energy Storage on Power Sector Decarbonisation,"Subhadip Bhattacharya, Rangan Banerjee, Venkatasallanathan Ramadesigan",Declining solar and battery storage costs significantly impact decarbonization efforts.,"Bottom-up TIMES-based cost optimization; incorporating power generation, energy storage, green hydrogen",Energy storage projected to supply 20% electricity by 2070,Non-fossil power sector achievable; emissions peak required by 2035,Evaluate declining costs impact and future net-zero portfolio
8,Economic top-down evaluation of the costs of energy storages—A simple economic truth in two equations,"Christoph Rathgeber, Eberhard Livemann, Andreas Hauer",Economic viability of energy storage dependent on cycle frequency and costs.,Economic top-down approach; present value annuity factor calculation,Higher cycle frequency allows higher acceptable costs,Acceptable costs depend significantly on user's economic conditions,Analyze economic viability and cycle frequency impacts
9,Rapid visualization of the potential residential cost savings from energy storage under time-of-use electric rates,"Michael Lanahan, Sarah Engert, Taewoo Kim",Energy storage significantly reduces residential peak load costs.,EnergyPlus load generation; Matlab post-processing; Google Fusion Tables,$420 potential annual savings per home with recommended 24 kWh capacity,Energy storage enhances flexibility and reduces peak demand,Visualize cost savings and analyze TOU rate impacts
10,An economic optimization method and system for energy storage cost and benefit,"Xue Jinhua, Yang Bo, Shi Ruxin",Economic optimization for maximizing net income of energy storage lifecycle in photovoltaics.,Particle swarm optimization; optimization objective and constraint construction,Maximizes total net income; analyzes income-expenditure in photovoltaics,Algorithm effectively maximizes storage net income,Optimize economic performance of storage in photovoltaic applications
1,kWh Cost Analysis of Energy Storage Power Station Based on Changing Trend of Battery Cost,"Hu Jianhua, Peng Zhe, Zhenyu Zhao",Current electrochemical energy storage costs range from 0.6 to 0.9 yuan/(kW·h).,Cost calculation of energy storage per kWh; technical analysis of battery cost trends,Current electrochemical energy storage cost: 0.6 to 0.9 yuan/kWh; Target cost for widespread application: 0.3 to 0.4 yuan/kWh,Current electrochemical energy storage cost: 0.6 to 0.9 yuan/kWh; Target cost for widespread application: 0.3 to 0.4 yuan/kWh,Calculate cost per kilowatt-hour of energy storage; analyze battery cost trends and their impact
2,Energy storage as part of electricity distribution asset management,"Juha Haakana, Jouni Haapaniemi, Jukka Lassila",,Feasibility analysis of energy storages in Finnish rural area; cost analysis to enable wide use of energy storages,ES can avoid expensive underground cable investments; ES unit costs should be below 200 €/kWh for wide use,Energy storage can prevent long interruptions in substations; unit costs should be below 200 €/kWh for feasibility,
3,Energy storage as part of electricity distribution asset management,"Juha Haakana, Jouni Haapaniemi, Jukka Lassila",,Feasibility analysis of energy storages in Finnish rural area; cost analysis to enable wide use of energy storages,"ES as back-up avoids interruptions, reduces expensive cable investments; storage unit costs should be below 200 €/kWh for wide use",Energy storage can prevent long interruptions in medium-voltage networks; unit costs should be below 200 €/kWh for wide use,
4,The Cost of Renewable Electricity and Energy Storage in Germany,Nico Wehrle,Electricity generation costs in Germany range from 0.02 to 0.10 EUR/kWh.,Calculation model with real data of German electricity generation; Levelised Cost of Storage (LCOS) metric for energy storage costs,Total system costs range from 0.19 to 0.28 EUR/kWh; energy storage is more significant than electricity generation in terms of costs,Storage costs exceed electricity generation costs in renewable systems; total system costs range from 0.19 to 0.28 EUR/kWh,
5,Energy Storage Control Algorithms to Reduce the Cost of Electric Energy to Consumers,"Alexander I. Orlov, V. T. Sidorova, Kirill A. Samoilov","The paper discusses energy storage systems, particularly lithium-ion batteries, which can reduce electricity costs by implementing control algorithms.",Reducing peak power through control algorithms; minimizing mains electricity consumption during control hours,First algorithm reduces peak power costs effectively; second algorithm minimizes power charge to zero,Algorithms reduce electricity costs for specific price categories; energy storage capacity influences cost reduction effectiveness,
